cohort,schoolid_ulcs,schoolname,sector,rate_type,group,subgroup,denom,num,score,fscore
2011-2012,3870,Overbrook High School EOP,Alternative,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,42,3,7.14,7.14
2011-2012,3870,Overbrook High School EOP,Alternative,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,36,11,30.56,30.56
2011-2012,3870,Overbrook High School EOP,Alternative,4-Year Graduation Rate,ELL,Non-EL,78,14,17.95,17.95
2011-2012,3870,Overbrook High School EOP,Alternative,4-Year Graduation Rate,Ethnicity,Black/African American,74,13,17.57,17.57
2011-2012,3870,Overbrook High School EOP,Alternative,4-Year Graduation Rate,Gender,Female,32,8,25,25.0
2011-2012,3870,Overbrook High School EOP,Alternative,4-Year Graduation Rate,Gender,Male,46,6,13.04,13.04
2011-2012,3870,Overbrook High School EOP,Alternative,4-Year Graduation Rate,IEP,Does Not Have IEP,66,13,19.7,19.7
2011-2012,3870,Overbrook High School EOP,Alternative,4-Year Graduation Rate,IEP,Has IEP,12,1,8.33,8.33
2011-2012,3870,Overbrook High School EOP,Alternative,5-Year Graduation Rate,All Students,All Students,45,14,31.11,31.11
2011-2012,3870,Overbrook High School EOP,Alternative,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,17,2,11.76,11.76
2011-2012,3870,Overbrook High School EOP,Alternative,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,28,12,42.86,42.86
2011-2012,3870,Overbrook High School EOP,Alternative,5-Year Graduation Rate,ELL,Non-EL,45,14,31.11,31.11
2011-2012,3870,Overbrook High School EOP,Alternative,5-Year Graduation Rate,Ethnicity,Black/African American,43,13,30.23,30.23
2011-2012,3870,Overbrook High School EOP,Alternative,5-Year Graduation Rate,Gender,Female,18,8,44.44,44.44
2011-2012,3870,Overbrook High School EOP,Alternative,5-Year Graduation Rate,Gender,Male,27,6,22.22,22.22
2011-2012,3870,Overbrook High School EOP,Alternative,6-Year Graduation Rate,All Students,All Students,44,14,31.82,31.82
2011-2012,3870,Overbrook High School EOP,Alternative,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,16,2,12.5,12.5
2011-2012,3870,Overbrook High School EOP,Alternative,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,28,12,42.86,42.86
2011-2012,3870,Overbrook High School EOP,Alternative,6-Year Graduation Rate,ELL,Non-EL,44,14,31.82,31.82
2011-2012,3870,Overbrook High School EOP,Alternative,6-Year Graduation Rate,Ethnicity,Black/African American,42,13,30.95,30.95
2011-2012,3870,Overbrook High School EOP,Alternative,6-Year Graduation Rate,Gender,Female,18,8,44.44,44.44
2011-2012,3870,Overbrook High School EOP,Alternative,6-Year Graduation Rate,Gender,Male,26,6,23.08,23.08
2011-2012,3880,South Philadelphia High School EOP,Alternative,4-Year Graduation Rate,All Students,All Students,126,25,19.84,19.84
2011-2012,3880,South Philadelphia High School EOP,Alternative,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,66,8,12.12,12.12
2011-2012,3880,South Philadelphia High School EOP,Alternative,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,60,17,28.33,28.33
2011-2012,3880,South Philadelphia High School EOP,Alternative,4-Year Graduation Rate,Ethnicity,Asian,13,2,15.38,15.38
2011-2012,3880,South Philadelphia High School EOP,Alternative,4-Year Graduation Rate,Ethnicity,Black/African American,85,20,23.53,23.53
2011-2012,3880,South Philadelphia High School EOP,Alternative,4-Year Graduation Rate,Ethnicity,White,16,2,12.5,12.5
2011-2012,3880,South Philadelphia High School EOP,Alternative,4-Year Graduation Rate,Gender,Female,70,18,25.71,25.71
2011-2012,3880,South Philadelphia High School EOP,Alternative,4-Year Graduation Rate,Gender,Male,56,7,12.5,12.5
2011-2012,3880,South Philadelphia High School EOP,Alternative,4-Year Graduation Rate,IEP,Does Not Have IEP,111,23,20.72,20.72
2011-2012,3880,South Philadelphia High School EOP,Alternative,4-Year Graduation Rate,IEP,Has IEP,15,2,13.33,13.33
2011-2012,3880,South Philadelphia High School EOP,Alternative,5-Year Graduation Rate,All Students,All Students,174,52,29.89,29.89
2011-2012,3880,South Philadelphia High School EOP,Alternative,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,92,24,26.09,26.09
2011-2012,3880,South Philadelphia High School EOP,Alternative,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,82,28,34.15,34.15
2011-2012,3880,South Philadelphia High School EOP,Alternative,5-Year Graduation Rate,Ethnicity,Asian,24,7,29.17,29.17
2011-2012,3880,South Philadelphia High School EOP,Alternative,5-Year Graduation Rate,Ethnicity,Black/African American,115,35,30.43,30.43
2011-2012,3880,South Philadelphia High School EOP,Alternative,5-Year Graduation Rate,Ethnicity,White,20,6,30,30.0
2011-2012,3880,South Philadelphia High School EOP,Alternative,5-Year Graduation Rate,Gender,Female,82,33,40.24,40.24
2011-2012,3880,South Philadelphia High School EOP,Alternative,5-Year Graduation Rate,Gender,Male,92,19,20.65,20.65
2011-2012,3880,South Philadelphia High School EOP,Alternative,5-Year Graduation Rate,IEP,Does Not Have IEP,150,46,30.67,30.67
2011-2012,3880,South Philadelphia High School EOP,Alternative,5-Year Graduation Rate,IEP,Has IEP,24,6,25,25.0
2011-2012,3880,South Philadelphia High School EOP,Alternative,6-Year Graduation Rate,All Students,All Students,184,63,34.24,34.24
2011-2012,3880,South Philadelphia High School EOP,Alternative,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,103,33,32.04,32.04
2011-2012,3880,South Philadelphia High School EOP,Alternative,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,81,30,37.04,37.04
2011-2012,3880,South Philadelphia High School EOP,Alternative,6-Year Graduation Rate,Ethnicity,Asian,24,13,54.17,54.17
2011-2012,3880,South Philadelphia High School EOP,Alternative,6-Year Graduation Rate,Ethnicity,Black/African American,123,40,32.52,32.52
2011-2012,3880,South Philadelphia High School EOP,Alternative,6-Year Graduation Rate,Ethnicity,White,23,6,26.09,26.09
2011-2012,3880,South Philadelphia High School EOP,Alternative,6-Year Graduation Rate,Gender,Female,88,35,39.77,39.77
2011-2012,3880,South Philadelphia High School EOP,Alternative,6-Year Graduation Rate,Gender,Male,96,28,29.17,29.17
2011-2012,3880,South Philadelphia High School EOP,Alternative,6-Year Graduation Rate,IEP,Does Not Have IEP,155,55,35.48,35.48
2011-2012,3880,South Philadelphia High School EOP,Alternative,6-Year Graduation Rate,IEP,Has IEP,29,8,27.59,27.59
2011-2012,4020,Overbrook High School,District,4-Year Graduation Rate,All Students,All Students,228,113,49.56,49.56
2011-2012,4020,Overbrook High School,District,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,175,81,46.29,46.29
2011-2012,4020,Overbrook High School,District,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,53,32,60.38,60.38
2011-2012,4020,Overbrook High School,District,4-Year Graduation Rate,Ethnicity,Black/African American,222,111,50,50.0
2011-2012,4020,Overbrook High School,District,4-Year Graduation Rate,Gender,Female,108,58,53.7,53.7
2011-2012,4020,Overbrook High School,District,4-Year Graduation Rate,Gender,Male,120,55,45.83,45.83
2011-2012,4020,Overbrook High School,District,4-Year Graduation Rate,IEP,Does Not Have IEP,182,91,50,50.0
2011-2012,4020,Overbrook High School,District,4-Year Graduation Rate,IEP,Has IEP,46,22,47.83,47.83
2011-2012,4020,Overbrook High School,District,5-Year Graduation Rate,All Students,All Students,202,123,60.89,60.89
2011-2012,4020,Overbrook High School,District,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,148,89,60.14,60.14
2011-2012,4020,Overbrook High School,District,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,54,34,62.96,62.96
2011-2012,4020,Overbrook High School,District,5-Year Graduation Rate,Ethnicity,Black/African American,195,120,61.54,61.54
2011-2012,4020,Overbrook High School,District,5-Year Graduation Rate,Gender,Female,97,63,64.95,64.95
2011-2012,4020,Overbrook High School,District,5-Year Graduation Rate,Gender,Male,105,60,57.14,57.14
2011-2012,4020,Overbrook High School,District,5-Year Graduation Rate,IEP,Does Not Have IEP,161,97,60.25,60.25
2011-2012,4020,Overbrook High School,District,5-Year Graduation Rate,IEP,Has IEP,41,26,63.41,63.41
2011-2012,4020,Overbrook High School,District,6-Year Graduation Rate,All Students,All Students,196,125,63.78,63.78
2011-2012,4020,Overbrook High School,District,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,145,91,62.76,62.76
2011-2012,4020,Overbrook High School,District,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,51,34,66.67,66.67
2011-2012,4020,Overbrook High School,District,6-Year Graduation Rate,Ethnicity,Black/African American,189,122,64.55,64.55
2011-2012,4020,Overbrook High School,District,6-Year Graduation Rate,Gender,Female,95,63,66.32,66.32
2011-2012,4020,Overbrook High School,District,6-Year Graduation Rate,Gender,Male,101,62,61.39,61.39
2011-2012,4020,Overbrook High School,District,6-Year Graduation Rate,IEP,Does Not Have IEP,155,98,63.23,63.23
2011-2012,4020,Overbrook High School,District,6-Year Graduation Rate,IEP,Has IEP,41,27,65.85,65.85
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,All Students,All Students,173,172,99.42,99.42
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,84,83,98.81,98.81
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,89,89,100,100.0
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,ELL,EL,10,10,100,100.0
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,ELL,Non-EL,163,162,99.39,99.39
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,Ethnicity,Asian,23,23,100,100.0
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,Ethnicity,Black/African American,125,124,99.2,99.2
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,Ethnicity,Hispanic/Latino,15,15,100,100.0
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,Gender,Female,82,82,100,100.0
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,Gender,Male,91,90,98.9,98.9
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,IEP,Does Not Have IEP,163,162,99.39,99.39
2011-2012,4030,High School of Engineering and Science,District,4-Year Graduation Rate,IEP,Has IEP,10,10,100,100.0
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,All Students,All Students,172,172,100,100.0
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,80,80,100,100.0
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,92,92,100,100.0
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,Ethnicity,Asian,23,23,100,100.0
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,Ethnicity,Black/African American,124,124,100,100.0
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,Ethnicity,Hispanic/Latino,15,15,100,100.0
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,Gender,Female,82,82,100,100.0
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,Gender,Male,90,90,100,100.0
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,IEP,Does Not Have IEP,162,162,100,100.0
2011-2012,4030,High School of Engineering and Science,District,5-Year Graduation Rate,IEP,Has IEP,10,10,100,100.0
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,All Students,All Students,172,172,100,100.0
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,82,82,100,100.0
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,90,90,100,100.0
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,ELL,EL,10,10,100,100.0
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,ELL,Non-EL,162,162,100,100.0
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,Ethnicity,Asian,23,23,100,100.0
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,Ethnicity,Black/African American,124,124,100,100.0
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,Ethnicity,Hispanic/Latino,15,15,100,100.0
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,Gender,Female,82,82,100,100.0
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,Gender,Male,90,90,100,100.0
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,IEP,Does Not Have IEP,162,162,100,100.0
2011-2012,4030,High School of Engineering and Science,District,6-Year Graduation Rate,IEP,Has IEP,10,10,100,100.0
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,4-Year Graduation Rate,All Students,All Students,134,114,85.07,85.07
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,102,88,86.27,86.27
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,32,26,81.25,81.25
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,4-Year Graduation Rate,Ethnicity,Black/African American,122,105,86.07,86.07
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,4-Year Graduation Rate,Gender,Female,89,81,91.01,91.01
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,4-Year Graduation Rate,Gender,Male,45,33,73.33,73.33
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,4-Year Graduation Rate,IEP,Does Not Have IEP,101,86,85.15,85.15
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,4-Year Graduation Rate,IEP,Has IEP,33,28,84.85,84.85
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,5-Year Graduation Rate,All Students,All Students,132,115,87.12,87.12
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,96,86,89.58,89.58
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,36,29,80.56,80.56
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,5-Year Graduation Rate,Ethnicity,Black/African American,120,106,88.33,88.33
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,5-Year Graduation Rate,Gender,Female,89,81,91.01,91.01
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,5-Year Graduation Rate,Gender,Male,43,34,79.07,79.07
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,5-Year Graduation Rate,IEP,Does Not Have IEP,99,87,87.88,87.88
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,5-Year Graduation Rate,IEP,Has IEP,33,28,84.85,84.85
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,6-Year Graduation Rate,All Students,All Students,132,115,87.12,87.12
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,101,89,88.12,88.12
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,31,26,83.87,83.87
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,6-Year Graduation Rate,Ethnicity,Black/African American,120,106,88.33,88.33
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,6-Year Graduation Rate,Gender,Female,89,81,91.01,91.01
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,6-Year Graduation Rate,Gender,Male,43,34,79.07,79.07
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,6-Year Graduation Rate,IEP,Does Not Have IEP,99,87,87.88,87.88
2011-2012,4060,Murrell Dobbins Career and Technical High School,District,6-Year Graduation Rate,IEP,Has IEP,33,28,84.85,84.85
2011-2012,4140,Strawberry Mansion High School,District,4-Year Graduation Rate,All Students,All Students,123,37,30.08,30.08
2011-2012,4140,Strawberry Mansion High School,District,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,102,27,26.47,26.47
2011-2012,4140,Strawberry Mansion High School,District,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,21,10,47.62,47.62
2011-2012,4140,Strawberry Mansion High School,District,4-Year Graduation Rate,Ethnicity,Black/African American,115,36,31.3,31.3
2011-2012,4140,Strawberry Mansion High School,District,4-Year Graduation Rate,Gender,Female,49,17,34.69,34.69
2011-2012,4140,Strawberry Mansion High School,District,4-Year Graduation Rate,Gender,Male,74,20,27.03,27.03
2011-2012,4140,Strawberry Mansion High School,District,4-Year Graduation Rate,IEP,Does Not Have IEP,78,26,33.33,33.33
2011-2012,4140,Strawberry Mansion High School,District,4-Year Graduation Rate,IEP,Has IEP,45,11,24.44,24.44
2011-2012,4140,Strawberry Mansion High School,District,5-Year Graduation Rate,All Students,All Students,108,45,41.67,41.67
2011-2012,4140,Strawberry Mansion High School,District,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,81,31,38.27,38.27
2011-2012,4140,Strawberry Mansion High School,District,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,27,14,51.85,51.85
2011-2012,4140,Strawberry Mansion High School,District,5-Year Graduation Rate,Ethnicity,Black/African American,101,44,43.56,43.56
2011-2012,4140,Strawberry Mansion High School,District,5-Year Graduation Rate,Gender,Female,46,20,43.48,43.48
2011-2012,4140,Strawberry Mansion High School,District,5-Year Graduation Rate,Gender,Male,62,25,40.32,40.32
2011-2012,4140,Strawberry Mansion High School,District,5-Year Graduation Rate,IEP,Does Not Have IEP,68,30,44.12,44.12
2011-2012,4140,Strawberry Mansion High School,District,5-Year Graduation Rate,IEP,Has IEP,40,15,37.5,37.5
2011-2012,4140,Strawberry Mansion High School,District,6-Year Graduation Rate,All Students,All Students,101,45,44.55,44.55
2011-2012,4140,Strawberry Mansion High School,District,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,77,33,42.86,42.86
2011-2012,4140,Strawberry Mansion High School,District,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,24,12,50,50.0
2011-2012,4140,Strawberry Mansion High School,District,6-Year Graduation Rate,Ethnicity,Black/African American,94,44,46.81,46.81
2011-2012,4140,Strawberry Mansion High School,District,6-Year Graduation Rate,Gender,Female,43,20,46.51,46.51
2011-2012,4140,Strawberry Mansion High School,District,6-Year Graduation Rate,Gender,Male,58,25,43.1,43.1
2011-2012,4140,Strawberry Mansion High School,District,6-Year Graduation Rate,IEP,Does Not Have IEP,64,30,46.88,46.88
2011-2012,4140,Strawberry Mansion High School,District,6-Year Graduation Rate,IEP,Has IEP,37,15,40.54,40.54
2011-2012,5020,Thomas A. Edison High School,District,4-Year Graduation Rate,All Students,All Students,338,155,45.86,45.86
2011-2012,5020,Thomas A. Edison High School,District,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,289,123,42.56,42.56
2011-2012,5020,Thomas A. Edison High School,District,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,49,32,65.31,65.31
2011-2012,5020,Thomas A. Edison High School,District,4-Year Graduation Rate,ELL,EL,89,42,47.19,47.19
2011-2012,5020,Thomas A. Edison High School,District,4-Year Graduation Rate,ELL,Non-EL,249,113,45.38,45.38
2011-2012,5020,Thomas A. Edison High School,District,4-Year Graduation Rate,Ethnicity,Black/African American,83,40,48.19,48.19
2011-2012,5020,Thomas A. Edison High School,District,4-Year Graduation Rate,Ethnicity,Hispanic/Latino,244,109,44.67,44.67
2011-2012,5020,Thomas A. Edison High School,District,4-Year Graduation Rate,Gender,Female,147,78,53.06,53.06
2011-2012,5020,Thomas A. Edison High School,District,4-Year Graduation Rate,Gender,Male,191,77,40.31,40.31
2011-2012,5020,Thomas A. Edison High School,District,4-Year Graduation Rate,IEP,Does Not Have IEP,257,132,51.36,51.36
2011-2012,5020,Thomas A. Edison High School,District,4-Year Graduation Rate,IEP,Has IEP,81,23,28.4,28.4
2011-2012,5020,Thomas A. Edison High School,District,5-Year Graduation Rate,All Students,All Students,313,164,52.4,52.4
2011-2012,5020,Thomas A. Edison High School,District,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,263,130,49.43,49.43
2011-2012,5020,Thomas A. Edison High School,District,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,50,34,68,68.0
2011-2012,5020,Thomas A. Edison High School,District,5-Year Graduation Rate,ELL,EL,80,43,53.75,53.75
2011-2012,5020,Thomas A. Edison High School,District,5-Year Graduation Rate,ELL,Non-EL,233,121,51.93,51.93
2011-2012,5020,Thomas A. Edison High School,District,5-Year Graduation Rate,Ethnicity,Black/African American,73,41,56.16,56.16
2011-2012,5020,Thomas A. Edison High School,District,5-Year Graduation Rate,Ethnicity,Hispanic/Latino,229,117,51.09,51.09
2011-2012,5020,Thomas A. Edison High School,District,5-Year Graduation Rate,Gender,Female,133,80,60.15,60.15
2011-2012,5020,Thomas A. Edison High School,District,5-Year Graduation Rate,Gender,Male,180,84,46.67,46.67
2011-2012,5020,Thomas A. Edison High School,District,5-Year Graduation Rate,IEP,Does Not Have IEP,235,136,57.87,57.87
2011-2012,5020,Thomas A. Edison High School,District,5-Year Graduation Rate,IEP,Has IEP,78,28,35.9,35.9
2011-2012,5020,Thomas A. Edison High School,District,6-Year Graduation Rate,All Students,All Students,301,167,55.48,55.48
2011-2012,5020,Thomas A. Edison High School,District,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,256,134,52.34,52.34
2011-2012,5020,Thomas A. Edison High School,District,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,45,33,73.33,73.33
2011-2012,5020,Thomas A. Edison High School,District,6-Year Graduation Rate,ELL,EL,79,44,55.7,55.7
2011-2012,5020,Thomas A. Edison High School,District,6-Year Graduation Rate,ELL,Non-EL,222,123,55.41,55.41
2011-2012,5020,Thomas A. Edison High School,District,6-Year Graduation Rate,Ethnicity,Black/African American,68,41,60.29,60.29
2011-2012,5020,Thomas A. Edison High School,District,6-Year Graduation Rate,Ethnicity,Hispanic/Latino,222,120,54.05,54.05
2011-2012,5020,Thomas A. Edison High School,District,6-Year Graduation Rate,Gender,Female,130,82,63.08,63.08
2011-2012,5020,Thomas A. Edison High School,District,6-Year Graduation Rate,Gender,Male,171,85,49.71,49.71
2011-2012,5020,Thomas A. Edison High School,District,6-Year Graduation Rate,IEP,Does Not Have IEP,227,136,59.91,59.91
2011-2012,5020,Thomas A. Edison High School,District,6-Year Graduation Rate,IEP,Has IEP,74,31,41.89,41.89
2011-2012,5050,Philadelphia Military Academy,District,4-Year Graduation Rate,All Students,All Students,59,58,98.31,98.31
2011-2012,5050,Philadelphia Military Academy,District,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,40,39,97.5,97.5
2011-2012,5050,Philadelphia Military Academy,District,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,19,19,100,100.0
2011-2012,5050,Philadelphia Military Academy,District,4-Year Graduation Rate,Ethnicity,Black/African American,39,39,100,100.0
2011-2012,5050,Philadelphia Military Academy,District,4-Year Graduation Rate,Gender,Female,19,19,100,100.0
2011-2012,5050,Philadelphia Military Academy,District,4-Year Graduation Rate,Gender,Male,40,39,97.5,97.5
2011-2012,5050,Philadelphia Military Academy,District,5-Year Graduation Rate,All Students,All Students,59,58,98.31,98.31
2011-2012,5050,Philadelphia Military Academy,District,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,39,38,97.44,97.44
2011-2012,5050,Philadelphia Military Academy,District,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,20,20,100,100.0
2011-2012,5050,Philadelphia Military Academy,District,5-Year Graduation Rate,Ethnicity,Black/African American,39,39,100,100.0
2011-2012,5050,Philadelphia Military Academy,District,5-Year Graduation Rate,Gender,Female,19,19,100,100.0
2011-2012,5050,Philadelphia Military Academy,District,5-Year Graduation Rate,Gender,Male,40,39,97.5,97.5
2011-2012,5050,Philadelphia Military Academy,District,6-Year Graduation Rate,All Students,All Students,59,58,98.31,98.31
2011-2012,5050,Philadelphia Military Academy,District,6-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,40,39,97.5,97.5
2011-2012,5050,Philadelphia Military Academy,District,6-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,19,19,100,100.0
2011-2012,5050,Philadelphia Military Academy,District,6-Year Graduation Rate,Ethnicity,Black/African American,39,39,100,100.0
2011-2012,5050,Philadelphia Military Academy,District,6-Year Graduation Rate,Gender,Female,19,19,100,100.0
2011-2012,5050,Philadelphia Military Academy,District,6-Year Graduation Rate,Gender,Male,40,39,97.5,97.5
2011-2012,5060,Jules E. Mastbaum Area Vocational Technical High School,District,4-Year Graduation Rate,All Students,All Students,168,140,83.33,83.33
2011-2012,5060,Jules E. Mastbaum Area Vocational Technical High School,District,4-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,137,112,81.75,81.75
2011-2012,5060,Jules E. Mastbaum Area Vocational Technical High School,District,4-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,31,28,90.32,90.32
2011-2012,5060,Jules E. Mastbaum Area Vocational Technical High School,District,4-Year Graduation Rate,ELL,EL,26,21,80.77,80.77
2011-2012,5060,Jules E. Mastbaum Area Vocational Technical High School,District,4-Year Graduation Rate,ELL,Non-EL,142,119,83.8,83.8
2011-2012,5060,Jules E. Mastbaum Area Vocational Technical High School,District,4-Year Graduation Rate,Ethnicity,Black/African American,95,80,84.21,84.21
2011-2012,5060,Jules E. Mastbaum Area Vocational Technical High School,District,4-Year Graduation Rate,Ethnicity,Hispanic/Latino,61,48,78.69,78.69
2011-2012,5060,Jules E. Mastbaum Area Vocational Technical High School,District,4-Year Graduation Rate,Gender,Female,80,67,83.75,83.75
2011-2012,5060,Jules E. Mastbaum Area Vocational Technical High School,District,4-Year Graduation Rate,Gender,Male,88,73,82.95,82.95
2011-2012,5060,Jules E. Mastbaum Area Vocational Technical High School,District,4-Year Graduation Rate,IEP,Does Not Have IEP,135,115,85.19,85.19
2011-2012,5060,Jules E. Mastbaum Area Vocational Technical High School,District,4-Year Graduation Rate,IEP,Has IEP,33,25,75.76,75.76
2011-2012,5060,Jules E. Mastbaum Area Vocational Technical High School,District,5-Year Graduation Rate,All Students,All Students,161,140,86.96,86.96
2011-2012,5060,Jules E. Mastbaum Area Vocational Technical High School,District,5-Year Graduation Rate,Economically Disadvantaged,Economically Disadvantaged,126,109,86.51,86.51
2011-2012,5060,Jules E. Mastbaum Area Vocational Technical High School,District,5-Year Graduation Rate,Economically Disadvantaged,Not Economically Disadvantaged,35,31,88.57,88.57
2011-2012,5060,Jules E. Mastbaum Area Vocational Technical High School,District,5-Year Graduation Rate,ELL,EL,19,15,78.95,78.95
2011-2012,5060,Jules E. Mastbaum Area Vocational Technical High School,District,5-Year Graduation Rate,ELL,Non-EL,142,125,88.03,88.03
2011-2012,5060,Jules E. Mastbaum Area Vocational Technical High School,District,5-Year Graduation Rate,Ethnicity,Black/African American,90,80,88.89,88.89
2011-2012,5060,Jules E. Mastbaum Area Vocational Technical High School,District,5-Year Graduation Rate,Ethnicity,Hispanic/Latino,59,48,81.36,81.36
